id,to,type,weight
obo.ICO_0000103,obo.ICO_0000101,SubClassOf,1.0
obo.ICO_0000104,obo.ICO_0000001,SubClassOf,1.0
obo.ICO_0000105,obo.ICO_0000154,SubClassOf,1.0
obo.ICO_0000106,Thesaurus.C25191,SubClassOf,1.0
obo.ICO_0000107,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000108,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000109,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000110,obo.OGMS_0000090,SubClassOf,1.0
obo.ICO_0000111,obo.IAO_0000028,SubClassOf,1.0
obo.ICO_0000112,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000113,obo.IAO_0000027,SubClassOf,1.0
obo.ICO_0000114,obo.ICO_0000113,SubClassOf,1.0
obo.ICO_0000115,obo.OBI_0000953,SubClassOf,1.0
obo.ICO_0000116,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000117,obo.ICO_0000154,SubClassOf,1.0
obo.ICO_0000118,obo.BFO_0000029,SubClassOf,1.0
obo.ICO_0000119,obo.IAO_0000416,SubClassOf,1.0
obo.ICO_0000120,obo.OBI_0000011,SubClassOf,1.0
obo.ICO_0000121,obo.ICO_0000154,SubClassOf,1.0
obo.ICO_0000122,obo.IAO_0000033,SubClassOf,1.0
obo.ICO_0000123,obo.ICO_0000120,SubClassOf,1.0
obo.ICO_0000124,obo.ICO_0000120,SubClassOf,1.0
obo.ICO_0000125,obo.ICO_0000120,SubClassOf,1.0
obo.ICO_0000126,obo.BFO_0000038,SubClassOf,1.0
